MasterRank,TeamRank,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
21,,kirkwoodcommunitycollege,Ben Bockman,22,So,G,Guard,6'5,,14,3.8,4.6,2.2,5,11.571428571428571,3.0,2.4285714285714284,0.6428571428571429,0.9285714285714286,0.14285714285714285,1.2142857142857142,8.357142857142858,6.357142857142857,1.4285714285714286,0.5,2.5,0.643879173290938,0.6111111111111112,120.1780415430267,0.11584338798941256,3.7777777777777777,0.06676557863501482,0.39325842696629215,0.7606837606837606,0.17094017094017094,0.8649687650168189,1.4416146083613648,4.036520903411821,1.6338298894762133,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Elite
22,,johnsoncountycommunitycollege,Aidan Wing,5,So,G,Guard,6'4,200,13,3.7950000000000004,4.4,2.5,5,17.384615384615383,5.923076923076923,2.5384615384615383,1.2307692307692308,0.6153846153846154,0.46153846153846156,0.7692307692307693,11.076923076923077,2.8461538461538463,3.6923076923076925,2.1538461538461537,3.769230769230769,0.6843507751937984,0.65625,124.77915194346289,0.15304018656842536,2.0625,0.08833922261484099,0.40540540540540543,0.2569444444444444,0.3333333333333333,1.5632633121641426,1.3678553981436248,7.523204689789936,0.9770395701025891,Elite,5,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Very Good,4,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Elite
23,,sneadstatecommunitycollege,Tristan Gilmore,,,,Wing,,,15,3.795,3.75,4.2,3,14.066666666666666,7.6,0.2,1.1333333333333333,0.8666666666666667,2.7333333333333334,2.533333333333333,6.933333333333334,0.3333333333333333,4.133333333333334,2.8666666666666667,4.733333333333333,0.8036258379037172,0.7451923076923077,142.29835446452657,0.1286482734686795,0.17647058823529413,0.11464796331265174,0.2,0.04807692307692308,0.5961538461538461,1.6840019811788014,5.349182763744428,11.292719167904904,3.7642397226349678,Elite,5,Below Average,2,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Unknown
24,,danvilleareacommunitycollege,Elijah Stark,,,,Wing,,,10,3.79,3.6,4.4,3,12.0,8.0,2.2,1.5,1.9,1.8,2.3,8.6,1.3,2.9,3.4,4.6,0.6075334143377885,0.5697674418604651,105.48523206751054,0.12438224360376123,1.4666666666666666,0.13185654008438819,0.15384615384615385,0.1511627906976744,0.3372093023255814,1.854140914709518,4.573547589616811,9.88875154511743,2.8430160692212607,Elite,5,Below Average,2,Average,3,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Unknown
25,,sneadstatecommunitycollege,London Townsend,,,,Wing,,,15,3.785,4.5,3.1,3,12.0,4.0,3.3333333333333335,1.2666666666666666,1.9333333333333333,0.2,2.2,7.666666666666667,3.4,2.533333333333333,0.3333333333333333,3.6666666666666665,0.6832675372001215,0.6608695652173913,119.4267515923567,0.1307652264445601,2.6315789473684212,0.1260615711252654,0.47058823529411764,0.4434782608695652,0.33043478260869563,1.8821198613174839,3.16988608221892,5.943536404160476,3.2689450222882614,Elite,5,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
26,,iowacentralcommunitycollege,Tashun Pender,1,,Position: F,Wing,6'5,180,13,3.7725,4.3,3.35,3,13.538461538461538,8.0,1.2307692307692308,0.46153846153846156,0.38461538461538464,0.9230769230769231,1.5384615384615385,9.307692307692308,0.07692307692307693,2.923076923076923,4.076923076923077,3.923076923076923,0.6389776357827476,0.640495867768595,122.46033954912329,0.1251088129809534,2.6666666666666665,0.041747843028110215,1.0,0.008264462809917356,0.3140495867768595,0.6066734074823054,1.7189079878665319,10.51567239635996,2.0222446916076846,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Average
27,,desmoinesareacommunitycollege,Kaden Tate,3,SO,F,Wing,6'6,210,14,3.765,3.25,4.4,4,7.785714285714286,7.214285714285714,2.0714285714285716,1.2857142857142858,1.6428571428571428,2.5,2.142857142857143,4.214285714285714,0.5,4.071428571428571,2.2857142857142856,4.928571428571429,0.6481921979067555,0.6864406779661016,106.77899686520377,0.07787135359453191,1.6111111111111112,0.17633228840125392,0.14285714285714285,0.11864406779661017,0.9661016949152542,1.5866020273248127,5.112384310268841,8.902600264433671,2.644336712208021,Elite,5,Poor,1,Average,3,Very Good,4,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Very Good
28,,schoolcraftcollege,J'Vohn Walker,,Sophomore,,Wing,6'6,,12,3.7375000000000003,3.3000000000000003,4.25,4,16.083333333333332,8.0,1.5,2.3333333333333335,1.5833333333333333,0.6666666666666666,2.0833333333333335,12.25,4.166666666666667,3.75,3.4166666666666665,4.583333333333333,0.5785371702637889,0.5612244897959183,99.0759753593429,0.18482674864321227,0.6428571428571429,0.1437371663244353,0.38,0.3401360544217687,0.30612244897959184,3.183627060830017,3.069926094371802,10.91529277998863,2.8425241614553722,Very Good,4,Average,3,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Very Good,4,Very Good
29,,raritanvalleycommunitycollege,Miles Whye,24,So,Forward,Wing,6'7,,13,3.7275000000000005,3.35,4.15,4,15.0,7.153846153846154,2.769230769230769,2.230769230769231,1.6153846153846154,1.2307692307692308,2.4615384615384617,10.923076923076923,3.6153846153846154,4.0,1.6153846153846154,5.538461538461538,0.5913391557496361,0.545774647887324,100.57767691355478,0.1720014194464159,1.2413793103448276,0.14957705797400453,0.3617021276595745,0.33098591549295775,0.36619718309859156,2.8306490971205465,3.611517813567594,9.077598828696924,3.1234748657881894,Very Good,4,Average,3,Below Average,2,Average,3,Average,3,Very Good,4,Very Good,4,Very Good,4,Elite,5,Very Good,4,Elite,5,Average,3,Very Good,4,Very Good,4,Very Good
30,,johnsoncountycommunitycollege,Tavian Cruse,21,So,F,Wing,6'5,225,13,3.7225,4.2,3.35,3,14.538461538461538,9.153846153846153,0.7692307692307693,0.46153846153846156,1.0,0.46153846153846156,1.6153846153846154,9.692307692307692,1.8461538461538463,2.5384615384615383,3.0,6.153846153846154,0.6725021349274124,0.6507936507936508,128.992628992629,0.1238043735424342,1.6666666666666667,0.04095004095004095,0.4166666666666667,0.19047619047619047,0.2619047619047619,0.5862237420615535,1.8563751831949193,11.62677088422081,2.0517830972154374,Elite,5,Below Average,2,Elite,5,Very Good,4,Elite,5,Insufficient Volume,3,Average,3,Average,3,Very Good,4,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Average
